"trend","designer","score","filename"
"braids","Ritu Kumar","1","braids_Ritu Kumar at LFW WF 2015 (1).jpg"
"dewy","Namrata Joshipura","1","dewy_Namrata Joshipura at LFW WF 2015.jpg"
"experimental","Khem by Prem Kumar","1","experimental_Khem by Prem Kumar at LFW WF 2015 (2).jpg"
"experimental","Kriti Tula","1","experimental_Kriti Tula at LFW WF 2015.jpg"
"experimental","Mrinalini Chandra","1","experimental_Mrinalini Chandra at LFW WF 2015 (3).jpg"
"experimental","Namrata Joshipura","1","experimental_Namrata Joshipura at LFW WF 2015 (2).jpg"
"experimental","Rishta By Arjun Saluja","1","experimental_Rishta By Arjun Saluja at LFW WF 2015.jpg"
"experimental","Sidhartha Bansal","1","experimental_Sidhartha Bansal at LFW WF 2015 (1).jpg"
"fresh faced","Ridhi Mehra","1","fresh faced_Ridhi Mehra at LFW WF 2015(2).jpg"
"fresh faced","Ritu Kumar","1","fresh faced_Ritu Kumar at LFW WF 2015 (2).jpg"
"fresh faced","Sahil Kochhar","1","fresh faced_Sahil Kochhar at LFW WF 2015 (2).jpg"
"fresh faced","Sangria","1","fresh faced_Sangria at LFW WF 2015.jpg"
"fresh faced","Shruti Sancheti","1","fresh faced_Shruti Sancheti at LFW WF 2015.jpg"
"fresh faced","Soumitra","1","fresh faced_Soumitra at LFW WF 2015 (2).jpg"
"fresh faced","Swati & Sunaina","1","fresh faced_Swati & Sunaina at LFW WF 2015 2.jpg"
"matte lip","Narendra Kumar","1","matte lip_Narendra Kumar at LFW WF 2015.jpg"
"matte lip","Rishta By Arjun Saluja","1","matte lip_Rishta By Arjun Saluja at LFW WF 2015 (2).jpg"
"matte lip","Sahil Kochhar","1","matte lip_Sahil Kochhar at LFW WF 2015.jpg"
"matte lip","Tarun Tahiliani","1","matte lip_Tarun Tahiliani at LFW WF 2015.jpg"
"new age ponytail","Huemn","1","new age ponytail_Huemn at LFW WF 2015 (22).jpg"
"new age ponytail","Quirk Box","1","new age ponytail_Quirk Box at LFW WF 2015.jpg"
"nude","AM PM","1","nude_AM PM at LFW WF 2015.jpg"
"nude","Arpita Mehta (2)","1","nude_Arpita Mehta (2) at LFW WF 2015.jpg"
"nude","Jodi","1","nude_Jodi at LFW WF 2015.jpg"
"nude","Krishna Mehta","1","nude_Krishna Mehta at LFW WF 2015 (2).jpg"
"nude","Manish Malhotra","1","nude_Manish Malhotra at LFW WF 2015(2).jpg"
"nude","Miuniku","1","nude_Miuniku at LFW WF 2015 (1).jpg"
"nude","Monisha Jaising","1","nude_Monisha Jaising at LFW WF 2015 (2).jpg"
"nude","Myoho","1","nude_Myoho at LFW WF 2015.jpg"
"nude","Namrata Joshipura","1","nude_Namrata Joshipura at LFW WF 2015 (3).jpg"
"nude","Ritu Kumar","1","nude_Ritu Kumar at LFW WF 2015 (3).jpg"
"nude","Shivangi Sahni","1","nude_Shivangi Sahni at LFW WF 2015.jpg"
