"trend","designer","score","filename"
"all black","Amalraj Sengupta","1","all black_Amalraj Sengupta at LFW WF 2015 (21).jpg"
"all black","Antar Agni","1","all black_Antar Agni at LFW WF 2015 (13).jpg"
"all black","Antar Agni","1","all black_Antar Agni at LFW WF 2015 (14).jpg"
"all black","Arunima Majhi","1","all black_Arunima Majhi at LFW WF 15 (11).jpg"
"all black","Kaleekal","1","all black_Kaleekal at LFW WF 15 (16).jpg"
"all black","Munkhee.See.Munkee Doo","1","all black_Munkhee.See.Munkee Doo at LFW WF 2015  (11).jpg"
"all black","rishta by arjun saluja","1","all black_rishta by arjun saluja at 757B7641.jpg"
"artsy","am pm","1","artsy_am pm at 757B6661.jpg"
"artsy","am pm","1","artsy_am pm at 757B6953.jpg"
"artsy","Arunima Majhi","1","artsy_Arunima Majhi at LFW WF 15 (2).jpg"
"artsy","Arunima Majhi","1","artsy_Arunima Majhi at LFW WF 15 (27).jpg"
"artsy","Divya Sheth","1","artsy_Divya Sheth at LFW WF 2015 (21).jpg"
"artsy","Divya Sheth","1","artsy_Divya Sheth at LFW WF 2015 (5).jpg"
"artsy","Divya Sheth","1","artsy_Divya Sheth at LFW WF 2015 (8).jpg"
"artsy","Hastkala","1","artsy_Hastkala at LFW WF 2015 (2).jpg"
"artsy","Hastkala","1","artsy_Hastkala at LFW WF 2015 (5).jpg"
"artsy","Huemn","1","artsy_Huemn at LFW WF 2015 (1).jpg"
"artsy","Jabin Johnny","1","artsy_Jabin Johnny at LFW WF 2015 (16).jpg"
"artsy","Jabin Johnny","1","artsy_Jabin Johnny at LFW WF 2015 (5).jpg"
"artsy","Kristy De Cunha","1","artsy_Kristy De Cunha at LFW WF 2015 (3).jpg"
"artsy","Masaba Gupta","1","artsy_Masaba Gupta at LFW WF 2015 (39).jpg"
"artsy","Masaba Gupta","1","artsy_Masaba Gupta at LFW WF 2015 (44).jpg"
"artsy","Masaba Gupta","1","artsy_Masaba Gupta at LFW WF 2015 (49).jpg"
"artsy","Miuniku","1","artsy_Miuniku at LFW WF 2015 (4).jpg"
"artsy","Miuniku","1","artsy_Miuniku at LFW WF 2015 (7).jpg"
"artsy","Miuniku","1","artsy_Miuniku at LFW WF 2015 (8).jpg"
"artsy","nachiket barve","1","artsy_nachiket barve at 757B7765.jpg"
"artsy","nachiket barve","1","artsy_nachiket barve at 757B8196.jpg"
"artsy","Quirk Box","1","artsy_Quirk Box at LFW WF 2015 (6).jpg"
"artsy","Rara Avis","1","artsy_Rara Avis at LFW WF 2015 (6).jpg"
"artsy","Salita Nanda","1","artsy_Salita Nanda at LFW WF 2015 (14).jpg"
"artsy","Salita Nanda","1","artsy_Salita Nanda at LFW WF 2015 (22).jpg"
"artsy","Salita Nanda","1","artsy_Salita Nanda at LFW WF 2015 (4).jpg"
"artsy","Salita Nanda","1","artsy_Salita Nanda at LFW WF 2015 (7).jpg"
"artsy","Swati Vijaivargie","1","artsy_Swati Vijaivargie at LFW WF 2015 (3).jpg"
"capes","Anita Dongre","1","capes_Anita Dongre at LFW WF 2015 (18).jpg"
"capes","Kanika Goyal","1","capes_Kanika Goyal at LFW WF 15 (28).jpg"
"capes","Masaba Gupta","1","capes_Masaba Gupta at LFW WF 2015 (47).jpg"
"capes","nachiket barve","1","capes_nachiket barve at 757B7784.jpg"
"capes","Neeta Lulla for Lakme Salon Bridal Show","1","capes_Neeta Lulla for Lakme Salon Bridal Show at Lakme Fashion Week WF 2015  (12).jpg"
"capes","nikhil thampi","1","capes_nikhil thampi at 757B1406.jpg"
"capes","Priyam Narayan","1","capes_Priyam Narayan at LFW WF 15 (5).jpg"
"capes","ridhi mehra","1","capes_ridhi mehra at 757B6475.jpg"
"capes","rishta by arjun saluja","1","capes_rishta by arjun saluja at 757B7389.jpg"
"capes","Selvage","1","capes_Selvage at 757B6364.jpg"
"capes","Shruti Sancheti","1","capes_Shruti Sancheti at LFW WF 2015  (10).jpg"
"capes","Sonaakshi Raaj","1","capes_Sonaakshi Raaj at LFW WF 15 (15).jpg"
"checks","Aartivijay Gupta","1","checks_Aartivijay Gupta at LFW WF 15  (12).jpg"
"checks","Aartivijay Gupta","1","checks_Aartivijay Gupta at LFW WF 15  (17).jpg"
"checks","baggit by little shilpa","1","checks_baggit by little shilpa at lakme.jpg"
"checks","ILK","1","checks_ILK at LFW WF 2015 (1).jpg"
"checks","ILK","1","checks_ILK at LFW WF 2015 (21).jpg"
"checks","ILK","1","checks_ILK at LFW WF 2015 (26).jpg"
"checks","ILK","1","checks_ILK at LFW WF 2015 (4).jpg"
"checks","ILK","1","checks_ILK at LFW WF 2015 (9).jpg"
"checks","Ka-Sha","1","checks_Ka-Sha at LFW WF 2015 (3).jpg"
"checks","Myoho","1","checks_Myoho at LFW WF 2015 (13).jpg"
"checks","Rinku Sobti","1","checks_Rinku Sobti at LFW WF 2015  (10).jpg"
"checks","Rinku Sobti","1","checks_Rinku Sobti at LFW WF 2015  (12).jpg"
"checks","Rinku Sobti","1","checks_Rinku Sobti at LFW WF 2015  (14).jpg"
"checks","Rinku Sobti","1","checks_Rinku Sobti at LFW WF 2015  (21).jpg"
"checks","Ritu Kumar","1","checks_Ritu Kumar at LFW WF 2015 (11).jpg"
"checks","Three by Pallavi Dhyani","1","checks_Three by Pallavi Dhyani at LFW WF 2015 (7).jpg"
"checks","Three by Pallavi Dhyani","1","checks_Three by Pallavi Dhyani at LFW WF 2015 (9).jpg"
"crop top","anushree reddy","1","crop top_anushree reddy at 757B5593.jpg"
"crop top","arpita mehta","1","crop top_arpita mehta at 757B6084.jpg"
"crop top","arpita mehta","1","crop top_arpita mehta at 757B6138.jpg"
"crop top","Arpita Mehta","1","crop top_Arpita Mehta at LFW WF 2015 (4).jpg"
"crop top","Ashdeen","1","crop top_Ashdeen at LFW WF 2015 (18).jpg"
"crop top","dhruv kapoor","1","crop top_dhruv kapoor at 757B5984.jpg"
"crop top","ILK","1","crop top_ILK at LFW WF 2015 (13).jpg"
"crop top","ILK","1","crop top_ILK at LFW WF 2015 (30).jpg"
"crop top","Jabin Johnny","1","crop top_Jabin Johnny at LFW WF 2015 (15).jpg"
"crop top","Jabin Johnny","1","crop top_Jabin Johnny at LFW WF 2015 (4).jpg"
"crop top","JODI","1","crop top_JODI at LFW WF 2015 (1).jpg"
